1,2.6548,21.807,69.432,7.9403,42.925
3,2.7719,18.089,63.866,7.0599,35.158
10,2.8308,15.24,61.766,6.5268,29.033
30,2.8308,13.634,46.563,6.4856,24.846
50,3.7785,13.257,43.457,6.2781,23.783
90,4.4632,12.883,32.992,6.6248,22.354
