  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
 75   1  0.645 0.736 0.495 -0.136 -0.163   13.0615 11.8909 9.8133
 76   1  1.221 2.200 -0.071 -0.647 -0.847   12.2762 11.0332 8.8769
 77   1  2.019 3.733 -3.484 -1.357 -1.774   15.6592 13.9566 11.2045
 78   1  1.813 2.647 -2.600 -1.194 -1.472   14.2706 12.7592 10.3322
 79   1  0.829 1.576 -1.346 -0.247 -0.452   12.8079 11.6191 9.5859
 80   1  0.965 -1.191 1.688 -1.000 1.291   16.3854 14.8387 11.9968
 81   1  0.791 2.193 -1.855 -0.016 -0.684   13.2513 11.9977 9.8853
 82   1  0.944 -0.440 0.942 -0.444 -0.440   13.1528 11.8841 9.4199
 83   1  1.014 0.971 -0.667 -0.520 -0.506   12.1269 10.9811 8.9015
 84   1  0.228 0.709 -0.203 0.535 0.128   15.8469 14.5481 12.3448
 85   1  1.014 0.971 -0.667 -0.520 -0.506   12.1269 10.9811 8.9015
 86   1  2.265 2.033 1.724 -1.738 -1.814   18.7092 17.1321 13.9596
 87   1  0.582 0.493 0.270 -0.049 -0.156   13.3161 12.1222 10.0194
 88   1  0.582 0.493 0.270 -0.049 -0.156   13.3161 12.1222 10.0194
 89   1  -0.052 -0.802 1.400 0.237 0.855   19.5023 18.1562 16.0040
 90   1  0.835 1.219 -0.985 -0.303 -0.383   12.6171 11.4588 9.4450
 91   1  -0.346 0.969 -0.393 0.849 0.837   21.2250 20.0093 18.2370
 92   1  0.865 -0.625 1.019 -0.382 -0.327   13.4068 12.1092 9.6239
 93   1  2.344 -0.360 2.130 -1.831 -1.865   20.6048 18.7758 15.2865
 94   1  1.481 1.953 1.128 -0.962 -1.016   13.0931 11.8170 9.4286
 95   1  1.059 1.058 -0.075 -0.411 -0.872   12.0341 10.8742 8.7273
 96   1  1.670 1.971 0.563 -1.107 -1.277   13.9724 12.6115 10.0844
 97   1  2.030 2.196 0.573 -1.422 -1.737   16.4871 14.9404 12.0368
 98   1  0.865 -0.625 1.019 -0.382 -0.327   13.4068 12.1092 9.6239
 99   1  0.996 0.887 0.241 -0.421 -0.650   12.0629 10.9093 8.7581
100   1  1.469 2.450 0.294 -0.924 -1.047   12.9778 11.6583 9.3446
---------------------------------------------------------------
AVG   1  1.087 1.274 0.096 -0.546 -0.645   14.5376 13.2181 10.8588
MIN   1  -0.466 -1.191 -3.484 -1.915 -2.126   12.0341 10.8742 8.7245
MAX   1  2.496 3.801 2.193 0.957 1.291   22.7331 21.5717 19.9548

  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   3  0.721 1.106 0.009 -0.173 -0.308   12.6697 11.5065 9.4534
  2   3  1.503 1.591 0.472 -0.943 -1.106   13.1425 11.8796 9.4671
  3   3  1.641 2.397 0.265 -1.108 -1.197   13.6471 12.2849 9.8069
  4   3  1.619 2.153 0.312 -1.088 -1.169   13.4479 12.1138 9.7594
  5   3  0.444 0.209 0.532 0.052 0.063   14.3817 13.1238 10.9215
  6   3  1.220 1.999 0.568 -0.693 -0.769   12.2092 11.0047 8.8101
  7   3  0.998 1.730 0.118 -0.451 -0.580   12.1611 11.0230 8.9912
  8   3  0.714 -0.589 0.894 -0.231 -0.179   13.3710 12.0939 9.8226
  9   3  1.536 1.406 -0.623 -1.030 -1.033   12.7086 11.4167 9.0386
 10   3  1.576 1.531 0.625 -1.079 -1.071   13.4107 12.1840 9.7817
 11   3  2.108 2.128 -1.546 -1.607 -1.611   15.6462 14.0715 11.2853
 12   3  0.805 -0.704 1.043 -0.334 -0.240   13.6360 12.3142 9.7920
 13   3  1.096 0.808 0.190 -0.491 -0.811   11.9878 10.8098 8.5625
 14   3  1.726 1.945 -1.395 -1.213 -1.248   13.6353 12.2169 9.8128
 15   3  1.792 3.191 0.182 -1.217 -1.418   14.6844 13.1632 10.5473
 16   3  1.047 1.740 0.050 -0.491 -0.645   12.1109 10.9382 8.8585
 17   3  1.101 1.537 0.571 -0.585 -0.629   12.1002 10.9361 8.7656
 18   3  0.657 0.932 0.156 -0.115 -0.235   12.8234 11.6587 9.6083
 19   3  1.688 1.534 0.423 -1.083 -1.395   14.2876 12.8950 10.2699
 20   3  0.919 1.168 0.782 -0.421 -0.414   12.2785 11.1117 8.9384
 21   3  0.871 1.654 0.522 -0.350 -0.410   12.3397 11.1882 9.1508
 22   3  1.382 1.864 0.909 -0.866 -0.911   12.7417 11.4753 9.1288
 23   3  1.246 1.011 0.449 -0.688 -0.856   12.3587 11.2040 8.9401
 24   3  1.588 0.690 0.672 -1.013 -1.230   14.3566 13.0138 10.4056
 25   3  1.168 0.756 0.657 -0.633 -0.735   12.2534 11.0837 8.7919
 26   3  1.301 1.964 0.240 -0.747 -0.893   12.3638 11.1361 8.9046
 27   3  1.311 1.077 0.347 -0.727 -0.974   12.6191 11.3842 9.0417
 28   3  1.412 1.589 -1.142 -0.820 -0.977   12.3705 11.0950 8.8516
 29   3  1.104 1.159 -0.682 -0.599 -0.612   12.0685 10.9315 8.8739
 30   3  0.864 0.597 0.221 -0.283 -0.535   12.2100 11.0447 8.8736
 31   3  1.081 1.199 -0.986 -0.575 -0.589   12.2215 11.0739 9.0219
 32   3  0.329 -0.102 0.517 0.151 0.211   15.1548 13.8368 11.5921
 33   3  1.053 1.471 0.482 -0.510 -0.636   11.9473 10.7760 8.6050
 34   3  0.593 0.459 0.414 -0.081 -0.116   13.2956 12.1062 10.0411
 35   3  1.226 2.062 0.183 -0.639 -0.885   12.3289 11.1312 8.9386
 36   3  1.397 1.905 0.787 -0.862 -0.959   12.6676 11.4121 9.0913
 37   3  0.906 1.864 -0.945 -0.326 -0.533   12.5448 11.3388 9.2763
 38   3  1.024 1.674 0.633 -0.504 -0.559   11.8896 10.7624 8.6716
 39   3  1.250 1.739 0.992 -0.743 -0.763   12.2801 11.0693 8.8038
 40   3  1.404 2.491 0.254 -0.846 -1.004   12.8391 11.5119 9.2408
 41   3  0.940 1.225 0.772 -0.434 -0.449   12.2835 11.1231 8.9544
 42   3  1.326 1.893 0.736 -0.800 -0.872   12.4964 11.2650 8.9981
 43   3  0.948 1.377 -1.232 -0.412 -0.504   12.4920 11.3082 9.2861
 44   3  0.575 0.721 0.572 -0.075 -0.074   13.5119 12.3091 10.1914
 45   3  0.967 1.369 0.322 -0.448 -0.498   12.1132 10.9667 8.9140
 46   3  0.979 1.188 -0.831 -0.454 -0.511   11.9095 10.7789 8.7913
 47   3  0.948 1.454 -0.327 -0.409 -0.510   12.2764 11.1324 9.0939
 48   3  1.534 2.989 0.353 -0.982 -1.125   13.3597 12.0386 9.7091
 49   3  0.420 1.096 -0.607 0.321 -0.271   14.0576 12.8332 10.7201
 50   3  1.345 -1.134 1.497 -0.861 -0.812   14.9880 13.4792 10.4873
 51   3  1.116 1.285 0.466 -0.560 -0.724   12.2175 11.0321 8.8447
