  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
 76   1  0.343 0.438 0.154 0.161 0.150   13.8970 10.9662 8.3535
 77   1  1.041 1.792 0.607 -0.521 -0.578   18.5167 15.4213 13.2802
 78   1  -1.127 -1.668 0.113 1.597 1.675   21.0111 18.3745 16.1040
 79   1  -0.640 0.258 -0.577 1.141 1.137   15.2653 12.3938 9.7830
 80   1  -0.100 -0.236 0.856 0.592 0.613   13.1792 10.2509 7.3834
 81   1  0.306 0.662 -0.236 0.284 0.084   13.8707 10.9186 8.2528
 82   1  -0.141 -0.691 1.249 0.572 0.744   13.7073 10.7516 7.7348
 83   1  2.487 -3.667 4.142 -2.978 2.592   24.3066 20.1374 14.3769
 84   1  1.254 2.635 -2.396 -0.517 -1.089   20.3973 16.8008 14.3985
 85   1  -0.411 2.859 -2.386 1.729 -0.660   16.0637 12.4249 8.4396
 86   1  -0.708 0.714 -1.676 1.264 1.110   15.7417 12.7957 9.9407
 87   1  -0.834 1.950 -1.401 1.502 0.826   15.7694 12.6118 9.1349
 88   1  0.095 2.753 -2.340 1.309 -0.831   16.4423 12.8558 9.5068
 89   1  1.716 0.435 2.259 -1.246 -1.162   26.4661 23.4644 21.1624
 90   1  -0.335 0.056 0.083 0.873 0.779   13.5583 10.5818 7.7630
 91   1  1.169 0.359 0.592 -0.612 -0.784   20.1579 17.3019 15.2111
 92   1  1.041 1.792 0.607 -0.521 -0.578   18.5167 15.4213 13.2802
 93   1  1.619 2.677 -0.033 -1.068 -1.204   23.5063 20.1265 17.9762
 94   1  0.324 1.400 -0.915 0.518 -0.393   15.0834 11.8937 9.1838
 95   1  0.807 0.767 0.741 -0.306 -0.310   16.6470 13.7497 11.5038
 96   1  0.343 0.438 0.154 0.161 0.150   13.8970 10.9662 8.3535
 97   1  -0.511 1.067 -0.647 1.013 1.009   14.5399 11.5081 8.4816
 98   1  -0.563 -0.573 -0.295 1.061 1.067   15.0612 12.2120 9.6221
 99   1  -0.395 1.388 -0.894 1.271 -0.384   14.0035 10.8242 7.5639
100   1  -0.879 -0.874 -0.829 1.378 1.380   17.7793 15.1005 12.8855
---------------------------------------------------------------
AVG   1  0.029 0.268 0.169 0.437 0.551   16.5233 13.4075 10.3550
MIN   1  -2.307 -5.773 -2.396 -3.916 -1.204   13.1232 10.1267 7.2153
MAX   1  2.487 2.859 6.693 2.769 2.943   30.4412 28.0681 26.5342

  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   3  -0.361 -0.343 0.998 0.863 0.859   13.9747 11.0448 8.2129
  2   3  -0.411 0.883 -0.524 0.914 0.902   13.8292 10.9470 8.0431
  3   3  -0.450 1.536 -0.788 0.987 0.873   14.3632 11.1913 7.8369
  4   3  0.111 0.442 0.096 0.391 0.385   13.3523 10.3212 7.4412
  5   3  -0.035 -0.411 0.990 0.467 0.626   13.2852 10.4068 7.5022
  6   3  0.060 -0.152 0.717 0.412 0.478   13.2678 10.3380 7.5501
  7   3  -0.266 -0.606 0.103 0.754 0.788   13.6798 10.7174 7.8564
  8   3  0.409 0.293 0.284 0.073 0.114   13.9792 11.0872 8.6859
  9   3  -0.169 -0.170 -0.159 0.669 0.669   13.2237 10.2526 7.3953
 10   3  -0.571 0.931 -0.742 1.078 1.058   14.7601 11.8516 8.9409
 11   3  -0.574 1.289 -0.660 1.080 1.062   14.9067 11.8383 8.7931
 12   3  0.000 0.081 0.385 0.499 0.497   13.0316 10.0682 7.2180
 13   3  -0.251 -1.639 2.191 0.534 1.094   15.8299 12.8443 9.3073
 14   3  0.156 0.779 -0.193 0.382 0.270   13.5017 10.4110 7.4885
 15   3  -0.001 0.884 -0.235 0.523 0.454   13.2978 10.2301 7.2595
 16   3  0.181 2.104 -1.628 0.575 -0.154   15.3404 11.9370 8.7666
 17   3  -0.340 1.484 -0.974 1.111 0.059   14.1442 10.8538 7.3984
 18   3  -0.362 -0.199 -0.502 0.866 0.854   13.7857 10.8273 8.0625
 19   3  1.240 1.850 -0.153 -0.628 -0.939   20.4604 17.2580 15.1126
 20   3  -0.109 0.183 -0.174 0.613 0.602   13.1991 10.1455 7.2201
 21   3  -0.194 0.598 -0.149 0.690 0.700   13.1739 10.1624 7.1971
 22   3  -0.188 -0.207 0.910 0.688 0.689   13.2281 10.3870 7.5386
 23   3  0.023 0.048 0.224 0.463 0.502   13.1599 10.1400 7.2692
 24   3  0.121 -0.275 0.815 0.328 0.461   13.4100 10.5157 7.7170
 25   3  0.041 0.965 -0.396 0.551 0.234   13.6848 10.5977 7.6372
 26   3  -0.323 -2.853 3.604 0.269 1.610   19.4644 16.1817 11.7240
 27   3  -0.387 -0.567 1.177 0.858 0.924   14.2057 11.2972 8.4508
 28   3  -0.044 -1.828 2.528 0.150 1.101   15.9414 12.8429 8.9692
 29   3  0.187 0.397 0.149 0.316 0.305   13.5515 10.5621 7.7828
 30   3  -0.107 -0.513 1.426 0.570 0.661   13.6613 10.7031 7.6982
 31   3  -0.139 -0.160 0.536 0.643 0.634   13.1645 10.2315 7.3973
 32   3  0.702 2.051 -0.775 -0.136 -0.314   16.5675 13.3086 10.7762
 33   3  -0.475 0.704 -0.443 0.973 0.978   14.3718 11.3719 8.4827
 34   3  0.396 -0.113 0.502 0.099 0.114   14.1300 11.2906 8.7343
 35   3  -0.527 0.369 -0.692 1.035 1.012   14.6528 11.7194 8.9747
 36   3  -0.049 -0.342 0.951 0.483 0.626   13.3325 10.3404 7.4154
 37   3  -0.404 0.240 -0.398 0.902 0.906   13.8609 10.9587 8.1660
 38   3  -0.443 1.297 -0.555 0.951 0.929   14.2232 11.1513 7.9864
 39   3  -0.430 -0.693 1.503 0.902 0.970   14.6054 11.7213 8.8549
 40   3  0.019 -0.424 0.706 0.442 0.545   13.2571 10.3771 7.5154
 41   3  -0.178 -0.177 0.214 0.680 0.677   13.2367 10.2187 7.3217
 42   3  -0.219 1.502 -0.860 0.821 0.493   13.8100 10.5688 7.1995
 43   3  -0.436 -1.084 1.786 0.809 1.095   15.3126 12.4337 9.3389
 44   3  -0.144 -0.495 1.370 0.613 0.691   13.6394 10.6928 7.6960
 45   3  -0.188 -0.597 0.638 0.669 0.719   13.4564 10.5712 7.6644
 46   3  -0.272 -1.069 1.711 0.637 0.962   14.5314 11.6514 8.4818
 47   3  0.001 1.275 -0.736 0.675 0.139   14.0368 10.8280 7.6555
 48   3  -0.116 -0.128 -0.161 0.615 0.618   13.1567 10.1996 7.3247
 49   3  -0.026 -0.094 0.093 0.521 0.533   12.9233 9.9768 7.1565
 50   3  -0.044 1.981 -1.518 1.555 -0.881   15.5017 12.1238 8.9220
 51   3  0.317 -0.223 0.749 0.053 0.430   13.6330 10.7895 8.0613
 52   3  -0.177 0.182 0.071 0.654 0.727   13.1590 10.2026 7.3300
 53   3  0.152 -1.028 1.572 0.106 0.739   14.2135 11.3261 8.2076
 54   3  -0.502 -0.738 0.698 0.980 1.035   14.7603 11.9678 9.3261
 55   3  0.303 -0.019 0.412 0.188 0.214   13.8120 10.9217 8.3248
 56   3  0.119 1.264 -0.737 0.612 -0.222   14.2262 11.0762 8.2236
 57   3  0.856 1.764 -0.012 -0.275 -0.520   17.3890 14.1958 11.9099
 58   3  -0.147 1.804 -0.897 0.732 0.466   13.8639 10.6310 7.2048
 59   3  -0.713 -1.228 1.025 1.183 1.261   16.9877 14.2457 11.5798
 60   3  -0.088 1.057 -0.572 0.857 0.060   13.6958 10.5715 7.4823
 61   3  -0.018 0.593 -0.060 0.522 0.508   13.2129 10.1796 7.2602
 62   3  0.413 1.035 -0.891 0.160 -0.018   14.6395 11.5427 8.8359
 63   3  -0.303 0.162 -0.069 0.857 0.727   13.4453 10.4508 7.5936
 64   3  0.008 1.322 -0.732 0.648 0.140   13.9294 10.7055 7.5232
 65   3  0.964 3.022 -2.643 -0.198 -0.894   19.1878 15.4717 12.8197
 66   3  -0.370 -0.113 -0.507 0.875 0.862   13.8670 10.9265 8.1315
 67   3  1.219 2.640 -0.646 -0.606 -0.915   20.4721 16.9986 14.7174
 68   3  -0.312 1.701 -1.180 1.038 0.352   14.0012 10.8396 7.4469
 69   3  -0.403 -0.410 0.905 0.902 0.905   14.2677 11.3170 8.5003
 70   3  0.025 -1.264 1.811 0.067 1.072   14.6482 11.6612 8.2094
 71   3  0.761 -0.862 1.361 -0.655 0.875   15.3736 12.4737 9.5290
 72   3  0.983 1.257 0.284 -0.438 -0.563   18.0512 15.0026 12.8087
 73   3  0.094 0.555 0.108 0.402 0.410   13.4158 10.3487 7.4336
 74   3  -0.153 0.384 -0.449 0.660 0.640   13.3119 10.2431 7.2275
 75   3  -0.683 2.048 -1.030 1.211 1.129   15.7263 12.5899 9.2043
 76   3  0.108 0.088 0.425 0.389 0.396   13.2554 10.3387 7.5554
 77   3  -0.550 -1.001 1.728 1.007 1.114   15.8809 13.0064 10.0163
 78   3  -0.135 1.390 -0.658 0.675 0.561   13.7719 10.5883 7.3101
 79   3  -0.086 -3.274 3.829 -0.167 1.832   20.0597 16.6815 11.8142
 80   3  0.046 0.032 0.047 0.453 0.454   13.1497 10.1634 7.3345
 81   3  0.198 -0.688 1.206 0.168 0.539   13.9206 11.0198 8.1176
 82   3  0.948 0.977 -0.080 -0.329 -0.671   17.8520 14.8423 12.6351
 83   3  -0.130 -0.363 1.272 0.611 0.658   13.3015 10.3959 7.5056
 84   3  -0.453 1.220 -0.584 0.966 0.926   14.1311 11.1334 8.0762
 85   3  -0.305 1.133 -0.393 0.811 0.793   13.7236 10.6410 7.4921
 86   3  0.793 0.946 -0.818 -0.283 -0.307   16.1830 13.1361 10.8147
 87   3  -0.096 1.402 -0.898 1.047 -0.378   14.4142 11.1683 8.0882
 88   3  -0.718 0.509 -1.136 1.245 1.167   15.8539 12.9458 10.2502
 89   3  -0.237 1.141 -0.645 1.047 -0.446   14.2108 11.0313 7.9567
 90   3  0.794 1.346 -0.402 -0.247 -0.367   16.4871 13.3923 11.0449
 91   3  -0.065 0.518 -0.051 0.564 0.566   13.0742 10.0040 7.0061
 92   3  -0.068 0.220 -0.033 0.566 0.570   13.1821 10.1575 7.2592
 93   3  -0.484 -0.385 0.185 0.990 0.974   14.5382 11.6311 8.9469
 94   3  0.372 -1.112 1.595 -0.344 0.957   14.6164 11.6936 8.4638
 95   3  -0.076 -0.172 0.726 0.557 0.598   13.0336 10.1093 7.2114
 96   3  -0.193 -0.851 1.456 0.599 0.832   14.1179 11.1981 8.0939
 97   3  -0.513 -0.456 -0.538 1.016 1.009   14.7168 11.8583 9.2271
 98   3  -0.496 -0.079 -0.208 0.992 1.002   14.3331 11.4052 8.7613
 99   3  -0.771 0.945 -0.702 1.267 1.280   16.1507 13.2641 10.5888
100   3  -0.065 -1.021 1.620 0.416 0.793   14.1320 11.1842 8.0460
---------------------------------------------------------------
AVG   3  -0.054 0.264 0.187 0.555 0.535   14.5185 11.4937 8.5565
MIN   3  -0.771 -3.274 -2.643 -0.655 -0.939   12.9233 9.9768 7.0061
MAX   3  1.240 3.022 3.829 1.555 1.832   20.4721 17.2580 15.1126

  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1  10  0.393 0.676 -0.185 0.690 -0.105   14.5149 11.4086 8.6822
  2  10  0.540 1.003 -0.605 0.034 -0.144   15.0312 11.9676 9.5707
  3  10  0.166 0.260 0.222 0.324 0.360   13.3841 10.2742 7.3842
  4  10  -0.293 -0.699 1.411 0.733 0.873   14.0572 11.2041 8.2660
  5  10  -0.162 0.251 -0.002 0.656 0.673   12.9590 10.0659 7.3412
  6  10  0.063 0.529 0.108 0.433 0.444   13.1233 10.2541 7.4658
  7  10  -0.199 -0.193 -0.151 0.698 0.700   13.5922 10.5035 7.6518
  8  10  0.051 0.047 0.264 0.432 0.481   13.2541 10.2703 7.5794
  9  10  -0.218 1.180 -0.421 0.736 0.681   13.6303 10.5938 7.4704
 10  10  -0.262 0.551 -0.132 0.755 0.776   13.8156 10.6087 7.6574
 11  10  0.177 0.490 0.034 0.361 0.241   13.5053 10.4351 7.5177
 12  10  -0.020 -0.065 0.146 0.518 0.524   12.8906 10.0446 7.2117
 13  10  -0.378 1.576 -0.760 0.907 0.823   14.4438 11.0808 7.6309
 14  10  -0.006 0.477 -0.122 0.508 0.501   12.8637 9.9730 7.0062
 15  10  0.145 0.612 -0.031 0.378 0.306   13.6094 10.6860 7.8226
