  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
 76   1  0.252 -0.537 1.055 -0.050 0.692   11.2579 9.5239 7.2275
 77   1  0.093 0.940 -0.293 0.448 0.327   12.0303 10.2344 7.9423
 78   1  0.659 -0.320 0.768 -0.175 -0.121   13.7614 12.1881 10.3248
 79   1  0.302 -0.140 0.662 0.091 0.382   11.4560 9.7993 7.7017
 80   1  0.093 0.940 -0.293 0.448 0.327   12.0303 10.2344 7.9423
 81   1  0.854 -0.372 0.870 -0.363 0.798   12.2029 10.5686 8.4652
 82   1  -0.394 -0.746 0.045 0.879 0.919   12.0828 10.3727 8.2693
 83   1  0.305 1.481 -1.167 0.325 -0.014   13.3486 11.4945 9.2576
 84   1  0.658 0.702 0.688 -0.160 -0.157   13.6485 12.0456 10.2957
 85   1  -0.375 -0.142 0.320 0.895 0.844   11.8339 10.1130 8.0271
 86   1  -0.942 -2.563 3.327 1.174 1.833   19.7204 17.4655 14.2192
 87   1  0.487 0.079 0.455 0.016 0.007   12.4421 10.8663 9.0017
 88   1  0.390 -1.759 2.261 -0.841 1.443   13.1125 11.0087 7.4864
 89   1  0.130 0.403 0.110 0.371 0.369   11.4296 9.7174 7.5368
 90   1  0.659 -0.320 0.768 -0.175 -0.121   13.7614 12.1881 10.3248
 91   1  -0.375 -0.142 0.320 0.895 0.844   11.8339 10.1130 8.0271
 92   1  -0.618 -1.192 1.939 1.022 1.241   14.1669 12.3589 9.8126
 93   1  0.806 -0.022 0.700 -0.298 -0.321   14.9365 13.3830 11.6805
 94   1  -0.344 0.408 -0.199 0.838 0.855   12.0745 10.3169 8.1381
 95   1  -0.149 -0.356 1.103 0.628 0.679   11.0820 9.3217 7.0410
 96   1  0.968 2.995 -1.146 -0.323 -0.722   17.9305 15.7701 13.8955
 97   1  0.913 2.682 -2.709 -0.287 -0.618   17.5277 15.3212 13.3057
 98   1  -0.394 -0.746 0.045 0.879 0.919   12.0828 10.3727 8.2693
 99   1  0.333 -0.807 1.299 -0.273 1.101   11.4037 9.5899 7.0240
100   1  -0.258 -1.602 2.088 -0.010 1.743   14.2321 12.2342 9.0876
---------------------------------------------------------------
AVG   1  0.116 -0.285 0.672 0.232 0.710   13.3363 11.5351 9.1613
MIN   1  -1.541 -2.842 -2.709 -2.350 -0.723   10.9275 9.1829 6.9247
MAX   1  1.964 2.995 3.340 2.043 2.551   23.0638 21.5109 20.0065

  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   3  -0.349 1.242 -0.692 0.869 0.812   12.7302 10.8556 8.3498
  2   3  -0.181 -0.250 0.828 0.673 0.693   11.1636 9.3989 7.1816
  3   3  0.505 0.551 0.460 -0.004 -0.009   12.7935 11.1603 9.2622
  4   3  -0.058 1.319 -0.583 0.586 0.508   12.4045 10.5430 8.0661
  5   3  0.221 -0.224 0.675 0.184 0.446   11.1517 9.4522 7.2970
  6   3  -0.156 -0.425 0.761 0.632 0.691   11.1566 9.3927 7.1441
  7   3  0.381 -0.565 1.066 -0.501 1.008   11.3875 9.6576 7.3434
  8   3  0.344 -0.243 0.743 -0.188 0.623   11.3574 9.7151 7.6147
  9   3  0.075 -0.968 1.524 0.083 0.886   11.4380 9.5815 6.8952
 10   3  0.396 -1.576 2.075 -1.139 1.703   12.8641 10.7944 7.2972
 11   3  0.855 0.441 0.403 -0.312 -0.439   15.3972 13.7848 12.1182
 12   3  -0.176 -0.320 0.228 0.667 0.690   11.1915 9.4488 7.2781
 13   3  -0.217 -0.336 0.940 0.702 0.736   11.2195 9.4363 7.1815
 14   3  -0.501 -1.182 1.967 0.904 1.134   13.3931 11.5478 8.9532
 15   3  0.518 -1.540 2.032 -0.754 1.272   12.9162 10.9367 7.7633
 16   3  0.032 0.079 0.397 0.473 0.460   11.1849 9.4523 7.2646
 17   3  0.094 -1.160 1.737 -0.026 0.971   11.8110 9.9058 7.0052
 18   3  0.228 -2.219 2.790 -0.195 1.043   13.7038 11.5206 7.6005
 19   3  0.898 0.429 0.398 -0.338 -0.534   15.8555 14.2505 12.6075
 20   3  0.153 0.257 0.188 0.365 0.325   11.3882 9.6714 7.5167
 21   3  -0.475 -1.146 1.900 0.869 1.117   13.2535 11.4134 8.7805
 22   3  -0.181 -1.499 2.072 0.514 0.953   12.4086 10.4451 7.3902
 23   3  0.472 -2.309 2.443 -0.297 0.733   14.2285 12.1182 8.5588
 24   3  -0.260 -0.325 0.862 0.752 0.772   11.3340 9.5688 7.3542
 25   3  0.545 0.058 0.521 -0.044 -0.046   12.7840 11.2491 9.4219
 26   3  -0.320 -0.010 -0.506 0.826 0.809   11.8895 10.1603 8.0765
 27   3  0.392 -0.444 0.916 0.049 0.212   11.9652 10.3932 8.3596
 28   3  0.549 0.235 0.472 -0.045 -0.058   12.9302 11.3603 9.5410
 29   3  0.089 0.577 -0.076 0.535 -0.069   12.1907 10.4218 8.2418
 30   3  -0.046 -0.226 0.335 0.533 0.567   10.8039 9.1124 6.9489
 31   3  -0.155 -0.711 0.939 0.574 0.776   11.3458 9.5368 7.1528
 32   3  0.952 -1.148 1.641 -0.950 1.575   12.6017 10.7122 7.8011
 33   3  -0.283 -0.644 1.298 0.742 0.841   11.5744 9.7989 7.4771
 34   3  -0.032 0.212 0.171 0.506 0.591   11.2752 9.4996 7.2834
 35   3  0.837 0.770 0.198 -0.268 -0.485   15.1279 13.4802 11.8448
 36   3  0.387 -0.012 0.486 0.094 0.211   11.8497 10.2144 8.1822
 37   3  0.451 -0.167 0.645 -0.013 0.308   11.9551 10.3181 8.2544
 38   3  0.295 -0.748 1.255 -0.275 0.835   11.5667 9.7759 7.3234
 39   3  -0.254 -0.417 -0.026 0.747 0.767   11.6141 9.8552 7.6995
 40   3  0.547 -0.123 0.588 -0.052 -0.034   12.8953 11.3079 9.4351
 41   3  -0.322 -1.303 0.202 0.798 0.865   12.0735 10.3195 8.0178
 42   3  0.338 -0.173 0.655 0.057 0.430   11.4779 9.8316 7.7535
 43   3  0.591 0.063 0.598 -0.093 -0.088   13.1931 11.6407 9.8278
 44   3  0.123 -2.014 2.906 0.050 0.858   13.3789 11.2575 7.5735
 45   3  -0.050 -2.148 2.887 0.104 1.179   13.9002 11.7032 7.7869
 46   3  0.411 -0.176 0.550 0.074 0.119   12.0993 10.4706 8.4498
 47   3  0.747 1.117 -0.149 -0.207 -0.308   14.5960 12.8688 11.1313
 48   3  -0.163 -1.977 2.808 0.269 1.176   13.7249 11.5792 7.8742
 49   3  1.039 1.502 -0.043 -0.495 -0.606   17.0090 15.1730 13.4995
 50   3  0.104 -0.586 0.805 0.362 0.454   11.1123 9.3911 7.1476
 51   3  0.265 0.868 -0.368 0.442 -0.173   12.5425 10.8344 8.7684
 52   3  -0.365 -0.947 1.656 0.773 0.990   12.2786 10.4886 7.9686
 53   3  -0.461 0.080 -0.070 1.019 0.878   12.1658 10.4403 8.3633
 54   3  -0.050 -0.801 1.399 0.334 0.809   11.3371 9.5077 6.9625
 55   3  0.286 -0.293 0.755 0.080 0.545   11.2822 9.5734 7.3995
 56   3  0.014 -0.678 1.337 0.362 0.654   11.0537 9.2795 6.8689
 57   3  -0.072 -1.093 1.696 0.369 0.872   11.7726 9.8864 7.0892
 58   3  0.060 0.926 -0.400 0.570 0.167   12.1988 10.3715 8.0252
 59   3  0.018 0.084 0.363 0.469 0.494   11.1067 9.3633 7.1758
 60   3  -0.595 -0.763 1.323 1.073 1.125   13.2902 11.5931 9.3591
 61   3  -0.403 -1.272 0.734 0.826 1.037   12.7381 10.9775 8.5868
 62   3  -0.293 -1.193 1.771 0.578 1.086   12.5651 10.6729 7.9030
 63   3  0.525 -0.134 0.633 -0.144 0.664   11.6081 9.9354 7.8212
 64   3  0.310 -0.048 0.488 0.172 0.220   11.6327 9.9725 7.9007
 65   3  0.234 -0.370 0.872 0.054 0.625   11.2102 9.4892 7.2650
 66   3  -0.507 -0.595 -0.310 1.002 1.014   12.8439 11.1594 9.1551
 67   3  0.137 -1.162 1.309 0.204 0.690   11.3713 9.5840 6.9790
 68   3  -0.219 -0.274 0.151 0.714 0.727   11.3103 9.5581 7.3888
 69   3  0.513 -1.056 1.566 -0.455 1.076   12.0594 10.2165 7.5057
 70   3  -0.183 -0.712 1.429 0.580 0.807   11.3855 9.5774 7.1219
 71   3  0.358 0.391 0.325 0.143 0.141   12.0020 10.3446 8.3251
 72   3  0.655 -0.094 0.608 -0.155 0.211   12.6009 11.0321 9.1095
 73   3  0.713 1.217 0.029 -0.170 -0.287   14.4483 12.7340 11.0128
 74   3  -0.514 -0.540 1.047 1.011 1.019   12.7213 10.9863 8.8294
 75   3  -0.445 -0.645 1.351 0.923 0.976   12.3556 10.6062 8.3440
 76   3  -0.012 0.001 -0.163 0.513 0.511   11.2671 9.5278 7.3125
 77   3  -0.347 1.427 -0.928 1.304 -0.506   13.2043 11.2706 8.6848
 78   3  0.220 -0.009 0.513 0.266 0.310   11.4776 9.8014 7.7152
 79   3  0.087 0.091 -0.011 0.413 0.412   11.2939 9.5467 7.3395
 80   3  -0.260 0.309 -0.186 0.757 0.766   11.7526 10.0083 7.8309
 81   3  0.629 -0.169 0.654 -0.132 -0.121   13.6089 12.0354 10.1929
 82   3  1.146 -2.168 2.666 -2.078 2.656   15.1171 12.6868 8.1935
 83   3  -0.184 -0.343 0.621 0.574 0.874   11.2017 9.4756 7.2901
 84   3  0.188 -1.940 2.509 -0.493 1.404   13.4025 11.2459 7.4505
 85   3  0.355 -0.738 0.979 0.065 0.319   11.8767 10.1895 7.9880
 86   3  0.279 -0.686 1.155 -0.052 0.708   11.3604 9.6008 7.2344
 87   3  0.163 -0.288 0.813 0.128 0.580   11.0798 9.3508 7.1339
 88   3  0.348 -0.142 0.543 0.137 0.180   11.8714 10.2279 8.1873
 89   3  -0.225 -0.275 -0.023 0.726 0.725   11.2801 9.5147 7.3549
 90   3  0.596 -0.627 0.915 -0.134 -0.013   13.4915 11.9336 9.9991
 91   3  0.131 0.593 -0.022 0.391 0.314   11.6987 9.9289 7.6834
 92   3  0.086 -0.957 1.509 0.180 0.773   11.3608 9.5648 6.9518
 93   3  0.116 -0.482 1.004 -0.008 0.830   10.9768 9.1963 6.8380
 94   3  -0.119 -0.095 0.397 0.619 0.618   11.1517 9.4026 7.2191
 95   3  0.069 -0.382 0.934 0.350 0.550   10.9834 9.2488 6.9922
 96   3  0.121 -0.074 0.406 0.368 0.398   11.1629 9.4363 7.2604
 97   3  -0.554 1.193 -0.490 1.048 1.064   13.3311 11.5005 9.0809
 98   3  0.187 -0.080 0.578 -0.048 0.562   11.2529 9.5281 7.3524
 99   3  0.296 0.415 0.060 0.207 0.198   11.7589 10.1092 8.0588
100   3  -0.072 -0.014 0.424 0.577 0.565   11.0086 9.2417 7.0324
---------------------------------------------------------------
AVG   3  0.126 -0.350 0.798 0.248 0.585   12.2452 10.4724 8.1153
MIN   3  -0.595 -2.309 -0.928 -2.078 -0.606   10.8039 9.1124 6.8380
MAX   3  1.146 1.502 2.906 1.304 2.656   17.0090 15.1730 13.4995

  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1  10  0.332 -0.484 0.980 -0.041 0.665   11.3270 9.7100 7.5205
  2  10  0.075 -0.219 0.842 0.377 0.489   11.0282 9.3383 7.2262
  3  10  0.069 -0.439 0.999 0.293 0.611   11.3306 9.5114 7.1705
  4  10  -0.043 -0.070 0.021 0.541 0.545   11.1554 9.4045 7.2226
  5  10  -0.135 -0.519 1.130 0.537 0.746   11.1167 9.3513 7.0135
  6  10  -0.010 -0.313 0.921 0.472 0.565   11.2235 9.4492 7.1902
  7  10  -0.283 -0.328 -0.006 0.780 0.788   11.5630 9.8667 7.8652
  8  10  -0.020 0.256 -0.104 0.522 0.518   11.0756 9.3305 7.0929
  9  10  0.140 -0.862 1.367 -0.754 1.224   11.5228 9.6639 7.0206
 10  10  0.018 -0.428 0.963 0.399 0.604   11.0446 9.3165 7.0635
 11  10  -0.135 -0.334 1.082 0.618 0.660   10.9705 9.2159 6.9663
 12  10  0.138 -0.160 0.645 0.324 0.428   11.2514 9.5475 7.4183
 13  10  0.561 0.676 0.155 -0.017 -0.152   13.4106 11.7733 9.9343
 14  10  -0.142 -0.829 0.789 0.569 0.765   11.1193 9.3917 7.0955
 15  10  0.018 -0.331 0.851 0.285 0.660   10.7829 9.0562 6.8207
 16  10  0.375 -0.134 0.576 0.096 0.187   11.8329 10.2386 8.2417
 17  10  0.224 0.007 0.476 0.271 0.285   11.5739 9.8200 7.6611
 18  10  0.249 -0.237 0.746 0.112 0.491   10.9633 9.3217 7.2399
 19  10  0.451 0.140 0.401 0.055 0.037   12.4894 10.8882 8.9936
 20  10  -0.370 -1.020 1.785 0.765 1.009   12.6688 10.8510 8.2645
 21  10  -0.163 -0.540 1.265 0.611 0.730   11.1771 9.4395 7.1284
 22  10  -0.156 -0.178 0.720 0.653 0.660   11.0437 9.3134 7.1116
 23  10  -0.251 -0.233 0.444 0.752 0.749   11.4488 9.6638 7.4672
 24  10  0.383 0.400 0.074 0.119 0.115   12.3402 10.6926 8.6879
 25  10  -0.260 -0.391 -0.045 0.751 0.775   11.0138 9.3180 7.1962
 26  10  -0.033 -0.330 0.974 0.487 0.592   11.1150 9.3609 7.1102
 27  10  -0.156 -0.232 0.890 0.650 0.665   11.1655 9.3329 7.0596
 28  10  -0.184 -0.417 1.169 0.664 0.714   10.8834 9.2740 7.1319
 29  10  0.005 -0.082 0.662 0.483 0.511   10.7013 9.0116 6.8429
 30  10  -0.213 -0.104 -0.284 0.712 0.715   11.5789 9.8248 7.7345
 31  10  -0.061 -0.316 0.895 0.483 0.643   10.8145 9.0229 6.7812
 32  10  -0.191 -0.764 1.391 0.591 0.826   11.6517 9.7827 7.3271
 33  10  0.105 0.339 0.129 0.393 0.399   11.4453 9.7394 7.5155
 34  10  0.158 -0.293 0.818 0.220 0.519   11.0413 9.3679 7.1946
 35  10  0.140 0.063 0.051 0.365 0.353   11.2445 9.5475 7.3906
 36  10  -0.254 -0.544 0.492 0.736 0.782   11.4118 9.6884 7.5631
 37  10  -0.125 -0.185 0.499 0.623 0.626   10.7932 9.1381 7.0940
 38  10  0.014 -0.162 0.738 0.464 0.512   10.8279 9.0874 6.8819
 39  10  -0.235 -0.197 -0.356 0.735 0.735   11.5129 9.7791 7.6661
 40  10  0.139 0.022 0.539 0.354 0.369   11.2652 9.5605 7.3810
 41  10  0.078 -0.066 0.741 0.406 0.444   11.1744 9.3962 7.1586
 42  10  0.413 -0.408 0.833 -0.008 0.349   11.8431 10.1687 8.0898
 43  10  0.227 -0.281 0.786 0.104 0.535   11.1897 9.5264 7.3745
 44  10  0.138 -0.626 1.113 0.145 0.759   11.1363 9.4065 7.0512
 45  10  -0.181 -0.231 0.964 0.677 0.686   11.2495 9.4606 7.2395
 46  10  -0.063 -0.155 0.346 0.555 0.574   11.0386 9.2965 7.0840
 47  10  0.333 -0.171 0.606 0.118 0.285   11.6631 10.0188 7.9358
 48  10  0.423 0.069 0.429 0.076 0.079   12.3143 10.7325 8.8112
 49  10  -0.289 -0.450 1.209 0.779 0.805   11.7958 9.9935 7.7020
 50  10  0.074 -0.337 0.883 0.340 0.549   11.1763 9.4200 7.1444
 51  10  0.403 0.666 -0.175 0.240 -0.045   12.5313 10.7598 8.6756
 52  10  -0.181 0.131 -0.209 0.680 0.683   11.4226 9.5938 7.3525
 53  10  -0.115 -0.577 1.205 0.536 0.721   11.1111 9.3349 7.0116
 54  10  -0.021 -0.198 0.268 0.512 0.537   11.3325 9.5653 7.3458
 55  10  0.059 -0.102 0.692 0.408 0.479   11.1163 9.3977 7.2075
 56  10  -0.307 -0.447 0.319 0.796 0.822   11.3181 9.5276 7.3070
 57  10  0.070 0.020 0.609 0.430 0.431   10.6415 9.0805 7.0111
 58  10  0.120 0.012 0.490 0.027 0.463   11.2663 9.5065 7.2959
 59  10  -0.061 -0.372 0.046 0.556 0.569   10.8445 9.1894 7.0349
 60  10  -0.018 -0.453 1.081 0.439 0.624   10.9519 9.2702 6.9985
 61  10  -0.175 -0.509 1.168 0.621 0.744   11.2733 9.4607 7.1096
 62  10  -0.171 -0.796 1.440 0.557 0.824   11.6029 9.8512 7.3745
 63  10  0.020 -0.280 0.859 0.396 0.567   11.0034 9.2020 6.9040
 64  10  -0.071 -0.188 0.304 0.560 0.589   11.0928 9.3500 7.1826
 65  10  -0.111 -0.128 0.127 0.609 0.612   10.9314 9.1786 6.9866
 66  10  0.144 0.369 0.290 0.346 0.372   11.4091 9.6977 7.4995
 67  10  0.214 0.056 0.510 0.274 0.305   11.2938 9.6127 7.5375
 68  10  -0.168 -0.718 1.274 0.605 0.761   11.3056 9.5338 7.1752
 69  10  0.130 -0.021 0.634 0.354 0.392   11.0064 9.2719 7.1176
 70  10  -0.025 -0.774 1.314 0.354 0.775   11.2623 9.5720 7.1088
 71  10  -0.111 0.625 -0.007 0.604 0.624   11.7479 9.9664 7.6659
 72  10  0.381 -0.026 0.525 0.047 0.495   11.5073 9.8906 7.8674
 73  10  0.470 -0.642 1.139 -0.242 0.851   11.4127 9.7373 7.3639
 74  10  0.122 0.378 0.125 0.378 0.379   11.4003 9.7213 7.5943
 75  10  0.151 -0.871 1.357 0.021 0.894   11.2834 9.5324 6.9799
 76  10  0.165 -0.007 0.526 0.305 0.377   11.5330 9.8073 7.6797
 77  10  -0.069 -0.418 1.074 0.527 0.628   11.0890 9.3798 7.1121
 78  10  -0.090 -0.087 0.488 0.588 0.591   10.9656 9.1885 6.9619
 79  10  0.071 0.007 0.650 0.423 0.437   11.2764 9.5784 7.4212
 80  10  -0.265 -0.528 0.995 0.747 0.793   11.3488 9.5572 7.2611
 81  10  0.318 -0.253 0.752 0.066 0.357   11.8696 10.2088 8.1371
 82  10  -0.259 -0.736 1.374 0.681 0.861   11.4832 9.6884 7.3111
 83  10  -0.141 -0.318 1.007 0.620 0.669   11.2608 9.4427 7.1693
 84  10  0.405 -0.339 0.805 0.002 0.300   11.7932 10.2172 8.2152
 85  10  0.197 -0.922 1.445 0.071 0.712   11.4558 9.7571 7.2496
 86  10  0.019 -0.184 0.740 0.471 0.498   11.1169 9.3745 7.1957
 87  10  -0.068 -0.096 0.598 0.566 0.571   11.2047 9.4945 7.3056
 88  10  -0.129 -0.448 1.128 0.584 0.690   11.2775 9.4884 7.1777
 89  10  -0.010 -0.305 0.944 0.463 0.571   11.0637 9.2805 7.0559
 90  10  0.136 0.626 -0.024 0.382 0.325   11.8562 10.1332 7.9011
 91  10  -0.448 -0.649 1.100 0.934 0.969   12.2929 10.5304 8.3610
 92  10  0.008 -0.221 0.347 0.479 0.515   10.7926 9.0889 6.8795
 93  10  0.056 -0.721 1.263 0.202 0.765   10.9830 9.2797 6.8598
 94  10  -0.111 -0.342 0.659 0.584 0.651   10.5219 8.9025 6.7072
 95  10  -0.287 -0.619 1.227 0.742 0.845   11.5676 9.7571 7.3806
 96  10  0.005 -0.490 1.154 0.441 0.574   10.8992 9.2988 7.0558
 97  10  0.338 -0.132 0.584 0.104 0.321   11.8194 10.0927 7.9198
 98  10  -0.006 -0.109 0.751 0.498 0.518   10.6674 8.9820 6.8094
 99  10  -0.041 -0.531 1.238 0.471 0.637   11.0201 9.3293 6.9718
100  10  0.791 1.216 0.130 -0.247 -0.363   15.1382 13.4034 11.7134
---------------------------------------------------------------
AVG  10  0.027 -0.239 0.699 0.411 0.565   11.3687 9.6448 7.4340
MIN  10  -0.448 -1.020 -0.356 -0.754 -0.363   10.5219 8.9025 6.7072
MAX  10  0.791 1.216 1.785 0.934 1.224   15.1382 13.4034 11.7134

  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1  30  -0.045 -0.329 0.855 0.502 0.606   11.1735 9.4146 7.2099
  2  30  0.073 -0.185 0.685 0.379 0.499   11.5646 9.7429 7.4871
  3  30  -0.103 -0.559 0.946 0.565 0.663   10.6348 8.8368 6.5659
  4  30  0.087 -0.489 0.976 0.296 0.599   11.1682 9.4177 7.0703
  5  30  -0.103 -0.248 0.627 0.592 0.621   10.4972 8.7981 6.4928
