  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
 80   1  1.000 0.000 0.000 0.000 0.000   15.6326 12.8039 10.4867
 81   1  0.000 0.000 0.000 0.000 1.000   13.0322 10.0505 7.1766
 82   1  1.000 0.000 0.000 0.000 0.000   15.6569 12.8014 10.4587
 83   1  1.000 0.000 0.000 0.000 0.000   15.6571 12.8245 10.5114
 84   1  0.000 0.000 1.000 0.000 0.000   13.9178 11.0574 8.4234
 85   1  0.000 0.000 0.000 1.000 0.000   13.1037 10.1314 7.3145
 86   1  0.000 0.000 0.000 0.000 1.000   13.0857 10.1106 7.2529
 87   1  0.000 0.000 0.000 1.000 0.000   13.2328 10.2432 7.4057
 88   1  0.000 0.000 0.000 1.000 0.000   13.2292 10.2491 7.4242
 89   1  0.000 0.000 0.000 0.000 1.000   13.1081 10.1242 7.2539
 90   1  0.000 0.000 0.000 0.000 1.000   13.0683 10.0933 7.2248
 91   1  0.000 0.000 0.000 0.000 1.000   13.0759 10.0963 7.2364
 92   1  0.000 0.000 0.000 1.000 0.000   13.0920 10.1311 7.2957
 93   1  0.000 0.000 1.000 0.000 0.000   13.9202 11.0709 8.4515
 94   1  0.000 0.000 0.000 0.000 1.000   13.1106 10.1364 7.2767
 95   1  0.000 0.000 0.000 0.000 1.000   13.0381 10.0520 7.1735
 96   1  0.000 0.000 0.000 0.000 1.000   13.0711 10.0977 7.2632
 97   1  1.000 0.000 0.000 0.000 0.000   15.7109 12.8557 10.5201
 98   1  0.000 0.000 0.000 1.000 0.000   13.1654 10.1829 7.3759
 99   1  0.000 0.000 1.000 0.000 0.000   13.8148 10.9767 8.3445
100   1  0.000 0.000 1.000 0.000 0.000   13.9262 11.0896 8.4743
---------------------------------------------------------------
AVG   1  0.140 0.090 0.290 0.220 0.260   13.7441 10.8301 8.1381
MIN   1  0.000 0.000 0.000 0.000 0.000   12.9601 9.9891 7.1292
MAX   1  1.000 1.000 1.000 1.000 1.000   15.7109 12.8557 10.5201

  # Samp Profile                         DE76    De94   DL
---------------------------------------------------------------
  1   3  0.000 0.000 0.000 0.667 0.333   13.1397 10.1744 7.3302
  2   3  0.000 0.667 0.000 0.000 0.333   13.3735 10.3873 7.6105
  3   3  0.000 0.000 0.000 0.000 1.000   13.2120 10.1960 7.2889
